grain,segment,n,WAPE_scenario1,WAPE_scenario2,gain_scenario2_pct
SKU × magasin × jour,tous jours,87360,0.6944,0.6928,0.2
SKU × magasin × jour,anomalie température > 3°C,31800,0.7091,0.6995,1.3
SKU × magasin × jour,anomalie température > 5°C,13560,0.7212,0.6994,3.0
SKU × magasin × jour,pluie > 6 mm,6960,0.7186,0.6947,3.3
magasin × jour (pilotage),tous jours,1456,0.1704,0.1618,5.1
magasin × jour (pilotage),anomalie température > 3°C,530,0.1756,0.1667,5.0
magasin × jour (pilotage),anomalie température > 5°C,226,0.2061,0.1918,6.9
magasin × jour (pilotage),pluie > 6 mm,116,0.1995,0.1677,15.9
