commodity_group,WAPE_hybride,WAPE_naive,biais_pct_hybride,volume_reel
Accessoires & Jouets,0.8653332873651733,1.1007437457741718,-0.04659809843436691,5916.0
Aquariophilie,0.7548856051539499,1.0210627753303965,-0.0885064549958764,14528.0
Chat,0.6449465157849419,0.8812279541446209,-0.07922903449456209,72576.0
Chien,0.665507814920163,0.9082718488842159,-0.07547485007850596,55163.0
Hygiène & Soins,0.7239130674310246,0.960828575222414,-0.06938064199235328,15062.0
Oiseau,0.7567270761032796,1.0392314926776838,0.0041241392842175095,14886.0
Reptile,1.0249595350900307,1.266490765171504,-0.041083824925956414,3032.0
Rongeur,0.7350798774665812,0.975395908380344,-0.06420759622811545,14713.0
