horizon,WAPE_hybride,WAPE_naive,biais_pct_hybride,volume_reel
1,0.691618627858788,0.8975490196078432,-0.013611766020186988,8160.0
2,0.690379794068449,0.8889209880109779,0.007549617609610815,6923.0
3,0.6926646548985985,0.8998567335243552,-0.0036810692794371214,6980.0
4,0.6624238667387996,0.9282046217657516,-0.020960958167538957,10126.0
5,0.72346735462267,0.9095477386934674,0.004297640305926054,3781.0
6,0.6934867245551021,0.8911819887429644,-0.011029462894472153,6929.0
7,0.7112704652380485,0.9034145014283771,0.00024549506852489245,7351.0
8,0.6927776214129622,0.8841125637048527,-0.059090592386547014,9026.0
9,0.7153290488738231,1.0417072379097696,0.018595108162513307,6162.0
10,0.7090813792414523,0.9424732585442213,0.04110075458892459,7666.0
11,0.6535811444416304,0.865391654465593,-0.0643862550220774,10928.0
12,0.6707775666252294,0.885520252243512,-0.08498019548696345,4123.0
13,0.6928174222099386,0.9205725512208813,-0.03546309046656393,7126.0
14,0.72360805676367,0.9457409568261377,-0.0003024377880208595,6856.0
15,0.689551291196308,0.8952774646123012,-0.01890368166362577,7983.0
16,0.722822057343014,0.9361892012494422,-0.037764099617199065,6723.0
17,0.6729871470073117,0.9087554085008908,-0.09552257224300986,7858.0
18,0.6773954561729222,0.9459430180912144,-0.020151343349432693,9231.0
19,0.7000985815876799,0.9078576913232659,-0.10535145657063305,3907.0
20,0.7144870154150677,1.0599931436407268,-0.08242996625833643,5834.0
21,0.6969019914486912,0.9633164330450343,-0.0942351457437276,6706.0
22,0.6944938514886503,0.9278885550396067,-0.026692675030977275,7322.0
23,0.7069906719400691,0.9753184713375797,-0.19502815861806522,6280.0
24,0.6725616242981992,1.2149911816578483,-0.2207621963942129,5670.0
25,0.6798266089506458,0.9180734856007945,-0.27541340407700765,10070.0
26,0.7062288708784898,0.9398369412426202,-0.23004807275575634,3557.0
27,0.7126273779202329,1.0298359025360517,-0.24539212429773327,6033.0
28,0.6977565717102641,0.9497334348819497,-0.17522800120209214,6565.0
