commodity_group,WAPE_hybride,WAPE_naive,biais_pct_hybride,volume_reel
Accessoires & Jouets,0.8672696591908176,1.1007437457741718,-0.04742010865614854,5916.0
Aquariophilie,0.7563458831163071,1.0210627753303965,-0.09379887382300822,14528.0
Chat,0.6460021746440595,0.8812279541446209,-0.08256916389347557,72576.0
Chien,0.6678634247650346,0.9082718488842159,-0.07380037979831966,55163.0
Hygiène & Soins,0.7261355577039462,0.960828575222414,-0.07433242971996756,15062.0
Oiseau,0.7594155081916942,1.0392314926776838,-0.00772074513749943,14886.0
Reptile,1.024636894063534,1.266490765171504,-0.07603785102035687,3032.0
Rongeur,0.7356359291201499,0.975395908380344,-0.08111324121462982,14713.0
